OrderID,OrderDate,OrderDate,CustomerID,CustomerName,Region,Country,SalesChannel,ProductCategory,Product,Quantity,UnitPrice,GrossSales,DiscountPct,DiscountAmount,NetSales,ShippingCost,TaxRate,TaxAmount,TotalAmount,PaymentMethod,OrderStatus,SalesRep,CustomerRating,IsReturningCustomer
ORD-104353,23-Jan-24,1/23/2024,CUST-2639,William Rossi,South America,Argentina,Retail Store,Office Supplies,Stapler,6,186.52,1119.12,0,0,1119.12,4.73,0.1,111.91,1235.76,Debit Card,Delivered,A. Chen,4,FALSE
ORD-110810,17-Jul-24,7/17/2024,CUST-3389,Mateus Martin,Oceania,Australia,Retail Store,Clothing,Wool Socks (3pk),5,243.72,1218.6,0.05,60.93,1157.67,13.78,0.2,231.53,1402.98,Debit Card,Shipped,T. Andersson,4,TRUE
ORD-105365,16-Jul-25,7/16/2025,CUST-4116,Elizabeth Martinez,Europe,Italy,Website,Books,Fiction Novel,3,598.76,1796.28,0,0,1796.28,22.6,0.05,89.81,1908.69,Bank Transfer,Delivered,S. Patel,2,FALSE
ORD-105934,2-May-25,5/2/2025,CUST-2781,Noah Garcia,Europe,France,Mobile App,Furniture,Ergonomic Office Chair,9,17.51,157.59,0,0,157.59,13.29,0,0,170.88,Bank Transfer,Shipped,J. Rivera,1,FALSE
ORD-106173,16-Feb-25,2/16/2025,CUST-2280,Yuki Van Dijk,Oceania,Australia,Marketplace - Amazon,Home & Kitchen,Non-Stick Pan Set,4,166.33,665.32,0,0,665.32,6.29,0.085,56.55,728.16,PayPal,Shipped,A. Chen,3,TRUE
ORD-107116,10-Jul-25,7/10/2025,CUST-4992,Charles Silva,Africa,South Africa,Mobile App,Furniture,Ergonomic Office Chair,10,209.61,2096.1,0.1,209.61,1886.49,24.34,0,0,1910.83,PayPal,Delivered,K. Tanaka,4,TRUE
ORD-109879,20-Mar-25,3/20/2025,CUST-3445,Robert Van Dijk,North America,USA,Marketplace - eBay,Clothing,Denim Jeans,7,227.02,1589.14,0.05,79.46,1509.68,33.1,0.2,301.94,1844.72,Cash on Delivery,Delivered,J. Rivera,5,FALSE
ORD-110406,31-Aug-25,8/31/2025,CUST-3305,Richard Perez,North America,Mexico,Phone Order,Electronics,Wireless Mouse,1,268.84,268.84,0,0,268.84,14.64,0.07,18.82,302.3,PayPal,Returned,R. Silva,2,TRUE
ORD-109052,15-Feb-25,2/15/2025,CUST-3376,Richard Brown,Oceania,Australia,Marketplace - Amazon,Electronics,Wireless Mouse,11,792.21,8714.31,0.05,435.72,8278.59,34.54,0,0,8313.13,Gift Card,Delivered,T. Andersson,1,FALSE
ORD-106715,11-Jul-24,7/11/2024,CUST-1468,Thomas Davis,Africa,Egypt,Phone Order,Sports & Outdoors,Dumbbell Set 20kg,2,351.78,703.56,0.1,70.36,633.2,29.64,0,0,662.84,Debit Card,Delivered,J. Rivera,3,FALSE
ORD-105264,23-Nov-23,11/23/2023,CUST-3098,David Thomas,Asia,India,Mobile App,Electronics,Power Bank 20000mAh,11,575.62,6331.82,0.05,316.59,6015.23,33.83,0.19,1142.89,7191.95,Debit Card,Processing,L. Novak,0,TRUE
ORD-109411,22-Aug-23,8/22/2023,CUST-3393,Ana Muller,Europe,France,Marketplace - Amazon,Sports & Outdoors,Resistance Bands,5,172.83,864.15,0.1,86.42,777.73,4.95,0.085,66.11,848.79,Debit Card,Returned,R. Silva,5,FALSE
ORD-110309,16-Dec-24,12/16/2024,CUST-1963,Mateus Miller,Europe,UK,Retail Store,Home & Kitchen,Air Fryer,12,707.52,8490.24,0,0,8490.24,31.08,0.19,1613.15,10134.47,PayPal,Delivered,N/A,4,FALSE
ORD-103455,3-Jan-23,1/3/2023,CUST-4096,Robert Perez,North America,USA,Mobile App,Books,Business Strategy Book,11,332.37,3656.07,0.1,365.61,3290.46,1.7,0.19,625.19,3917.35,Cash on Delivery,Delivered,N/A,0,TRUE
ORD-103029,22-Feb-23,2/22/2023,CUST-2913,Thomas Van Dijk,Africa,Egypt,Website,Toys & Games,Puzzle 1000pc,1,632.08,632.08,0,0,632.08,9.04,0.19,120.1,761.22,Debit Card,Cancelled,R. Silva,3,TRUE
ORD-112867,16-Feb-24,2/16/2024,CUST-4322,Mateus Perez,Africa,Egypt,Website,Clothing,Cotton T-Shirt,12,337.24,4046.88,0.15,607.03,3439.85,17.48,0.07,240.79,3698.12,PayPal,Delivered,M. Okafor,2,FALSE
ORD-111079,30-Jan-25,1/30/2025,CUST-4115,Carlos Kim,Asia,India,Mobile App,Electronics,Power Bank 20000mAh,8,237.85,1902.8,0.05,95.14,1807.66,29.62,0.19,343.46,2180.74,Debit Card,Delivered,N/A,2,FALSE
ORD-104761,8-Nov-23,11/8/2023,CUST-4878,Raj Garcia,North America,Mexico,Retail Store,Books,Fiction Novel,7,576.7,4036.9,0.15,605.53,3431.37,34.8,0,0,3466.17,Gift Card,Delivered,N/A,5,TRUE
ORD-102372,22-Feb-23,2/22/2023,CUST-1467,Richard Rodriguez,Europe,Spain,Website,Home & Kitchen,Air Fryer,11,56.07,616.77,0.25,154.19,462.58,17.25,0,0,479.83,Bank Transfer,Processing,S. Patel,5,TRUE
ORD-103792,30-Sep-24,9/30/2024,CUST-3080,Mia Anderson,Europe,Italy,Marketplace - Amazon,Toys & Games,Building Blocks Set,4,459.28,1837.12,0.25,459.28,1377.84,0.77,0.085,117.12,1495.73,Cash on Delivery,Delivered,S. Patel,5,FALSE
ORD-102544,5-Apr-24,4/5/2024,CUST-1428,Carlos Nguyen,Europe,Italy,Website,Clothing,Cotton T-Shirt,8,420.2,3361.6,0.2,672.32,2689.28,20.74,0.19,510.96,3220.98,Cash on Delivery,Delivered,A. Chen,0,FALSE
ORD-113235,22-Mar-24,3/22/2024,CUST-1916,Ava Nguyen,Asia,Japan,Marketplace - Amazon,Books,Fiction Novel,6,869.12,5214.72,0,0,5214.72,34.18,0.085,443.25,5692.15,PayPal,Cancelled,S. Patel,4,FALSE
ORD-106897,15-Oct-24,10/15/2024,CUST-1979,Emma Lee,North America,Canada,Marketplace - eBay,Electronics,Webcam HD,3,631.56,1894.68,0,0,1894.68,31.15,0.2,378.94,2304.77,Credit Card,Processing,A. Chen,5,TRUE
ORD-101312,6-Dec-24,12/6/2024,CUST-2314,Fatima Rodriguez,Africa,Egypt,Phone Order,Office Supplies,Stapler,5,647.88,3239.4,0.2,647.88,2591.52,23.42,0.05,129.58,2744.52,Gift Card,Delivered,R. Silva,0,FALSE
ORD-101421,9-Aug-25,8/9/2025,CUST-1070,John Smith,Europe,Germany,Mobile App,Furniture,Desk Lamp,5,96.57,482.85,0.1,48.29,434.56,31.85,0.19,82.57,548.98,PayPal,Delivered,T. Andersson,1,TRUE
ORD-111517,27-Oct-24,10/27/2024,CUST-1146,Wei Wilson,Oceania,Australia,Phone Order,Toys & Games,Building Blocks Set,9,410.59,3695.31,0.25,923.83,2771.48,5.48,0,0,2776.96,Bank Transfer,Delivered,T. Andersson,1,FALSE
ORD-106531,1-Jul-23,7/1/2023,CUST-2777,Carlos Martinez,North America,Mexico,Phone Order,Clothing,Running Shoes,5,302.15,1510.75,0.05,75.54,1435.21,34.27,0.085,121.99,1591.47,Credit Card,Delivered,M. Okafor,1,TRUE
ORD-113878,20-Sep-23,9/20/2023,CUST-3801,Li Nguyen,South America,Chile,Mobile App,Toys & Games,Action Figure,5,83.7,418.5,0.2,83.7,334.8,22.3,0.19,63.61,420.71,Cash on Delivery,Delivered,A. Chen,0,FALSE
ORD-101774,5-Dec-23,12/5/2023,CUST-1571,John Garcia,Africa,Egypt,Retail Store,Furniture,Bookshelf,11,473.35,5206.85,0.2,1041.37,4165.48,15.15,0,0,4180.63,PayPal,Delivered,N/A,3,TRUE
ORD-113368,10-Jun-25,6/10/2025,CUST-2074,Thomas Martinez,South America,Argentina,Phone Order,Home & Kitchen,Coffee Maker,1,721.19,721.19,0.1,72.12,649.07,9.62,0.085,55.17,713.86,Cash on Delivery,Delivered,N/A,0,TRUE
ORD-106294,19-Oct-25,10/19/2025,CUST-1387,Hiro Nguyen,North America,Canada,Retail Store,Home & Kitchen,Coffee Maker,7,176.06,1232.42,0.05,61.62,1170.8,34.42,0.05,58.54,1263.76,Cash on Delivery,Delivered,R. Silva,5,TRUE
ORD-111075,2-Sep-25,9/2/2025,CUST-4966,Li Van Dijk,North America,USA,Phone Order,Office Supplies,Stapler,8,293.48,2347.84,0.1,234.78,2113.06,21.27,0,0,2134.33,PayPal,Processing,A. Chen,0,FALSE
ORD-104251,22-Jan-24,1/22/2024,CUST-4119,Sarah Garcia,Oceania,Australia,Marketplace - eBay,Toys & Games,Action Figure,7,194,1358,0.1,135.8,1222.2,0.27,0.07,85.55,1308.02,PayPal,Delivered,A. Chen,4,FALSE
ORD-106555,9-Dec-24,12/9/2024,CUST-2450,Michael Van Dijk,Asia,Japan,Mobile App,Toys & Games,Remote Control Car,5,669.11,3345.55,0,0,3345.55,27.38,0.05,167.28,3540.21,Gift Card,Delivered,J. Rivera,4,FALSE
ORD-104784,1-Apr-23,4/1/2023,CUST-3061,Sophia Jackson,North America,Canada,Marketplace - Amazon,Sports & Outdoors,Dumbbell Set 20kg,9,403.02,3627.18,0,0,3627.18,19.99,0.2,725.44,4372.61,Bank Transfer,Shipped,K. Tanaka,4,TRUE
ORD-110643,22-Sep-24,9/22/2024,CUST-3056,Mia Wilson,Asia,Singapore,Website,Sports & Outdoors,Resistance Bands,5,845.09,4225.45,0.1,422.55,3802.9,18.9,0.2,760.58,4582.38,Credit Card,Delivered,J. Rivera,5,TRUE
ORD-106827,23-Dec-25,12/23/2025,CUST-4440,Priya Jones,Europe,UK,Phone Order,Books,Cookbook,4,648.22,2592.88,0.25,648.22,1944.66,13.89,0.05,97.23,2055.78,Gift Card,Delivered,T. Andersson,4,TRUE
ORD-101815,29-Apr-25,4/29/2025,CUST-2253,Mohammed Perez,Oceania,New Zealand,Phone Order,Home & Kitchen,Electric Kettle,11,705.91,7765.01,0.15,1164.75,6600.26,20.48,0.05,330.01,6950.75,PayPal,Delivered,R. Silva,2,TRUE
ORD-110178,23-Feb-23,2/23/2023,CUST-3556,Jessica Okafor,South America,Brazil,Retail Store,Office Supplies,Stapler,1,585.79,585.79,0,0,585.79,14.2,0.1,58.58,658.57,Gift Card,Shipped,N/A,4,TRUE
ORD-108004,13-Feb-23,2/13/2023,CUST-1282,John Nguyen,Africa,Egypt,Marketplace - eBay,Books,Children's Storybook,4,352.63,1410.52,0,0,1410.52,22.66,0.07,98.74,1531.92,PayPal,Cancelled,N/A,3,TRUE
ORD-100470,10-Oct-23,10/10/2023,CUST-4368,Yuki Rossi,Asia,India,Marketplace - eBay,Clothing,Running Shoes,7,851.49,5960.43,0,0,5960.43,16.52,0.1,596.04,6572.99,Debit Card,Delivered,S. Patel,5,TRUE
